REGION,COUNTRY,Popn_2010,Inc_group_2010,M_Group,P_Group,O_Group,W_Group,W_MM_Group,E_Group,R_Group,NTCP_Group,Survey_title,Survey_year,Survey_national,Survey_age_grp,Smk_1_def,Smk_1_tob_use_M,Smk_1_tob_use_F,Smk_1_tob_use_B,Smk_2_def,Smk_2_tob_use_M,Smk_2_tob_use_F,Smk_2_tob_use_B,Smkless_def,Smkless_tob_use_M,Smkless_tob_use_F,Smkless_tob_use_B,Tobacco_M_Current,Tobacco_M_Daily,Tobacco_F_Current,Tobacco_F_Daily,Cigarettes_M_Current,Cigarettes_M_Daily,Cigarettes_F_Current,Cigarettes_F_Daily,Tobacco_B_Current,Tobacco_B_Daily,Cigarettes_B_Current,Cigarettes_B_Daily,P1,P2,P3,P4,P5,P6,P7,P8,P9,C2,P17,P11,P12,P13,P14,P15,P10,P16,O1,O2,O3,O6,O7,O9,O10,O12,O13,O14,O15,O16,W1A,W2A,W3A,W4A,W15A,W16A,W11A,W14A,W6A,W7A,W8A,W10A,W5A,W13A,W12A,W9A,W17A,W18A,W19A,W20A,W21A,W25A,W26A,W1C,W2C,W3C,W4C,W15C,W16C,W11C,W14C,W6C,W7C,W8C,W10C,W5C,W13C,W12C,W9C,W17C,W18C,W19C,W20C,W21C,W25C,W26C,MM1,MM2,MM3,MM4,MM5,MM6,MM7,MM8,E1,E2,E3,E4,E5,E6,E7,C3,E17,E9,E10,E11,E12,E13,E14,E15,C4,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,N1,N2,N3,N4,N5,N6,P1_N,P2_N,P3_N,P4_N,P5_N,P6_N,P7_N,P8_N,P9_N,C2_N,P17_N,P11_N,P12_N,P13_N,P14_N,P15_N,P10_N,P16_N,O3_N,W1A_N,W2A_N,W3A_N,W4A_N,W15A_N,W16A_N,W11A_N,W14A_N,W6A_N,W7A_N,W8A_N,W10A_N,W5A_N,W13A_N,W12A_N,W9A_N,W17A_N,W18A_N,W19A_N,W20A_N,W21A_N,W25A_N,W26A_N,W1C_N,W2C_N,W3C_N,W4C_N,W15C_N,W16C_N,W11C_N,W14C_N,W6C_N,W7C_N,W8C_N,W10C_N,W5C_N,W13C_N,W12C_N,W9C_N,W17C_N,W18C_N,W19C_N,W20C_N,W21C_N,W25C_N,W26C_N,MM_N,E1_N,E2_N,E3_N,E4_N,E5_N,E6_N,E7_N,C3_N,E17_N,E9_N,E10_N,E11_N,E12_N,E13_N,E14_N,E15_N,C4_N,R_N
EMR,Afghanistan,29117489,Low,1,3,3,2,999,4,2,3,WHO Assignment Afghanistan Noncommunicable Diseases CVD,1991,Subnational,18+,Current tobacco use,82,17,988,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,No,No,No,No,Yes,NA,2,4,No,NA,NA,No,No,NR,NR,No,Yes,In a pharmacy without a prescription,No,NA,No,NA,No,No,No,No,No,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,Yes,No,Yes,No,Yes,No,No,4,No,No,No,No,No,Yes,No,No,2,20,AFN,0.73,0.4,0%,0%,8%,8%,0%,8%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,No,Yes,988,NR,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Albania,3169087,Middle,2,5,3,4,999,4,3,3,Assessment and valuation of smoking prevalence among adult population [+15 years] and population subgroups in Albania and other indicators related to tobacco use,2000,National,15+,Current tobacco smoking,60.1,18.3,40.2,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,8,No,NA,NA,No,No,NR,NR,No,. . .,NR,No,NA,No,NA,NR,NR,NR,NR,Yes in some,Yes,50,50,50,Yes,16,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,50,50,50,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,Yes,No,Yes,No,Yes,No,No,10,No,No,Yes,Yes,Yes,Yes,Yes,Yes,2,130,ALL,2.62,1.48,31%,0%,3%,50%,31%,19%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,1,1680000.00,ALL,20025.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Algeria,35422589,Middle,1,2,3,2,999,4,4,3,"Mesure des facteurs de risque des maladies non transmissibles dans deux zones pilotes (approche STEPWISE), in Setif and Mostaganem",2003,Subnational,25—64,Daily tobacco smoking,32.3,0.4,12.8,Current tobacco smoking,38.1,0.5,15.1,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,No,No,No,No,No,No,NA,0,2,No,NA,NA,No,No,NR,NR,No,Yes,In a pharmacy without a prescription,No,NA,Yes,NA,No,Yes,No,No,No,Yes,15,15,15,Yes,6,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,966,966,966,Yes,1,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,Yes,No,Yes,No,Yes,No,No,0,No,No,No,No,No,No,No,No,999,70,DZD,1.48,0.98,45%,0%,0%,59%,45%,15%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,2,263050258.00,DZD,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Andorra,86685,High,1,2,3,2,999,2,1,2,Enquesta Nacional de Salut d'Andorra,2002,National,15+,Current tobacco smoking,42.2,30.2,988,NR,988,988,988,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,No,No,No,No,No,No,No,NA,NA,0,NR,NR,NR,NR,NR,NR,NR,No,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,No,No,No,NR,NR,NR,988,988,988,NR,988,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,988,988,988,NR,988,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,No,No,No,No,No,No,No,999,No,No,No,No,No,No,NR,No,999,NR,NR,NR,NR,988,988,988,988,988,988,NR,NR,NR,NR,NR,NR,988,988,988,988,NA,No,No,999,NR,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,Angola,18992707,Middle,1,2,3,2,999,2,3,3,NR,2999,NA,NA,NA,999,999,999,NA,999,999,999,NA,999,999,999,988,988,988,988,988,988,988,988,988,988,988,988,Yes,No,No,No,No,No,No,No,NA,1,1,No,NA,NA,No,No,NR,NR,No,No,NA,No,NA,No,NA,No,No,No,No,Yes in some,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,No,No,No,No,No,No,No,999,No,No,No,No,No,No,NR,No,999,50,AOA,0.83,0.67,0%,16%,12%,37%,16%,21%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,No,Yes,988,NR,AOA,NR,z,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,Antigua and Barbuda,88550,Middle,2,2,3,2,999,2,2,2,NR,2999,NA,NA,NA,999,999,999,NA,999,999,999,NA,999,999,999,988,988,988,988,988,988,988,988,988,988,988,988,No,No,No,No,No,No,No,No,NA,NA,0,No,NA,NA,No,No,NR,NR,No,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,No,No,Yes in some,No,NR,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,No,No,No,No,No,No,No,999,No,No,No,No,No,No,No,No,999,6.5,XCD,3.2,2.41,0%,0%,0%,10%,0%,10%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,No,No,999,NR,NA,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,Argentina,40665732,Middle,4,2,4,2,999,2,4,4,Encuesta Nacional de Factores de Riesgo,2005,National,18+,Daily cigarette smoking,26.2,18.6,22.2,Current cigarette smoking,35.1,24.9,29.7,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,No,No,No,No,No,No,No,NA,NA,0,No,NA,NA,No,No,NR,NR,Yes,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes in some,Yes in some,Yes in some,Yes in some,Yes in some,Yes,966,966,966,Yes,1,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,No,No,No,No,No,No,No,999,Yes,No,No,No,No,No,No,No,999,3.8,ARS,2.11,1.11,0%,63%,0%,69%,63%,7%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,9,277966.00,USD,277966.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Armenia,3090379,Middle,3,3,3,3,999,2,2,3,Health Systems Performance Assessment,2007,National,20—60,Daily tobacco smoking,55,2,23,. . .,. . .,. . .,. . .,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,Yes,Yes,Yes,No,No,No,No,No,NA,0,3,No,NA,NA,No,No,NR,NR,Yes,Yes,In a pharmacy without a prescription,Yes,In a pharmacy without a prescription,Yes,In a pharmacy without a prescription,Yes in some,No,No,NR,NR,Yes,30,30,30,Yes,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,966,966,966,No,999,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,,Yes,No,No,No,Yes,No,Yes,5,No,Yes,Yes,Yes,No,No,Yes,No,0,500,AMD,2.63,1.63,17%,0%,2%,22%,17%,5%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,1,100000000.00,AMD,292330.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPR,Australia,21511888,High,4,5,5,5,999,4,4,4,National Drug Strategy Household Survey,2007,National,14+,Daily tobacco smoking,18,15.2,16.6,Occasional tobacco smoking,1.4,1.2,1.3,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,No,No,No,No,No,No,No,NA,NA,8,No,NA,NA,No,No,NR,NR,Yes,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes in most,Yes in most,Yes in most,Yes in some,NR,Yes,60,30,90,Yes,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,13,25,0,Yes,2,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,Yes,Yes,Yes,No,Yes,No,Yes,10,Yes,Yes,Yes,Yes,No,No,No,Yes,10,9.6,AUD,6.45,6.65,53%,0%,0%,62%,53%,9%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,Yes,Yes,16,4500000.00,AUD,3774597.80,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,Austria,8387491,High,4,2,4,3,999,2,4,2,"Österreichweite Repräsentativerhebung zu Substanzgebrauch, Erhebung",2004,National,14 - 99,Daily tobacco smoking,40.2,35.5,988,Current tobacco smoking,48,47,47,NR,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,No,Yes,Yes,No,No,No,No,No,NA,1,2,Yes,Yes,Yes,No,Yes,NR,NR,Yes,Yes,In a pharmacy without a prescription,Yes,In a pharmacy with a prescription,Yes,In a pharmacy with a prescription,Yes in some,Yes in some,Yes in some,No,No,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,15,30,0,Yes,1,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,Yes,No,No,No,Yes,No,Yes,10,No,No,Yes,No,No,No,No,Yes,5,3.6,EUR,4.23,5.01,15%,43%,0%,74%,58%,17%,NR,NR,NA,NA,NA,NA,999,999,999,999,NA,No,No,999,20000.00,EUR,29296.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
