Fieldname,Value,Descriptor
REGION,AFR,Africa
,AMR,The Americas
,EMR,Eastern Mediterranean
,EUR,Europe
,SEAR,South-East Asia
,WPR,Western Pacific
All numeric fields (excl monetary fields),966,Not mandated
All numeric fields (excl monetary fields),977,Value is between 0 and 1%
All numeric fields (excl monetary fields),988,Data not reported/not available
All numeric fields (excl monetary fields),999,Data not required/not applicable
All monetary fields,NR,Data not reported/not available
All monetary fields,NA,Data not required/not applicable
All text fields,NR,Data not reported/not available
All text fields,NA,Data not required/not applicable
All year fields,2888,Data not reported/not available
All year fields,2999,Data not required/not applicable
P1,Yes,"Yes, legislation adopted"
,No,"No, legislation not adopted"
,*,"Separate, completely enclosed smoking rooms are allowed under very strict conditions.  Refer to Technical Note I for more details."
P2,Yes,"Yes, legislation adopted"
,No,"No, legislation not adopted"
,*,"Separate, completely enclosed smoking rooms are allowed under very strict conditions.  Refer to Technical Note I for more details."
P3,Yes,"Yes, legislation adopted"
,No,"No, legislation not adopted"
,*,"Separate, completely enclosed smoking rooms are allowed under very strict conditions.  Refer to Technical Note I for more details."
P4,Yes,"Yes, legislation adopted"
,No,"No, legislation not adopted"
,*,"Separate, completely enclosed smoking rooms are allowed under very strict conditions.  Refer to Technical Note I for more details."
P5,Yes,"Yes, legislation adopted"
,No,"No, legislation not adopted"
,*,"Separate, completely enclosed smoking rooms are allowed under very strict conditions.  Refer to Technical Note I for more details."
P6,Yes,"Yes, legislation adopted"
,No,"No, legislation not adopted"
,*,"Separate, completely enclosed smoking rooms are allowed under very strict conditions.  Refer to Technical Note I for more details."
P7,Yes,"Yes, legislation adopted"
,No,"No, legislation not adopted"
,*,"Separate, completely enclosed smoking rooms are allowed under very strict conditions.  Refer to Technical Note I for more details."
P8,Yes,"Yes, legislation adopted"
,No,"No, legislation not adopted"
,*,"Separate, completely enclosed smoking rooms are allowed under very strict conditions.  Refer to Technical Note I for more details."
C2,1-2,"Minimal compliance.  Refer to WHO Report on the Global Tobacco Epidemic, 2011, Technical Note I for more information."
