Code,Descriptor,Field format,Calculated field? Yes/No
REGION,WHO Region,Text,No
COUNTRY,Member State,Text,No
Popn_2010,National Population according to the United Nations Statistics Division population estimates for 2010,Text,No
Inc_group_2010,Income Group 2010,Text,No
M_Group,M Group,Text,Yes
P_Group,P Group,Text,Yes
O_Group,O Group,Text,Yes
W_Group,W Group,Text,Yes
W_MM_Group,W MM Group,Text,Yes
E_Group,E Group,Text,Yes
R_Group,R Group,Text,Yes
NTCP_Group,NTCP Group,Text,Yes
Survey_title,Reference/Title of Publication,Text,No
Survey_year,Year of latest prevalence survey,Year,No
Survey_national,Representativeness of latest prevalence survey,Text,No
Survey_age_grp,Smoking Definition 1. Age group (Start age in years - End age in years),Text,No
Smk_1_def,Smoking Definition 1 ,Text,No
Smk_1_tob_use_M,Smoking Definition 1. Male prevalence %,Numeric,No
Smk_1_tob_use_F,Smoking Definition 1. Female prevalence %,Numeric,No
Smk_1_tob_use_B,Smoking Definition 1. Both sexes prevalence %,Numeric,No
Smk_2_def,Smoking Definition 2 ,Text,No
Smk_2_tob_use_M,Smoking Definition 2. Male prevalence %,Numeric,No
Smk_2_tob_use_F,Smoking Definition 2. Female prevalence %,Numeric,No
Smk_2_tob_use_B,Smoking Definition 2. Both sexes prevalence %,Numeric,No
Smkless_def,Smokeless definition 1 ,Text,No
Smkless_tob_use_M,Smokeless definition 1. Male prevalence %,Numeric,No
Smkless_tob_use_F,Smokeless definition 1. Female prevalence %,Numeric,No
Smkless_tob_use_B,Smokeless definition 1. Both sexes prevalence %,Numeric,No
Tobacco_M_Current,2009 estimate of current tobacco smoking male prevalence %,Numeric,No
Tobacco_M_Daily,2009 estimate of daily tobacco smoking male prevalence %,Numeric,No
Tobacco_F_Current,2009 estimate of current tobacco smoking female prevalence %,Numeric,No
Tobacco_F_Daily,2009 estimate of daily tobacco smoking female prevalence %,Numeric,No
Cigarettes_M_Current,2009 estimate of current cigarette smoking male prevalence %,Numeric,No
Cigarettes_M_Daily,2009 estimate of daily cigarette smoking male prevalence %,Numeric,No
Cigarettes_F_Current,2009 estimate of current cigarette smoking female prevalence %,Numeric,No
Cigarettes_F_Daily,2009 estimate of daily cigarette smoking female prevalence %,Numeric,No
Tobacco_B_Current,2009 estimate of current tobacco smoking both sexes prevalence %,Numeric,No
Tobacco_B_Daily,2009 estimate of daily tobacco smoking both sexes prevalence %,Numeric,No
Cigarettes_B_Current,2009 estimate of current cigarette smoking both sexes prevalence %,Numeric,No
Cigarettes_B_Daily,2009 estimate of daily cigarette smoking both sexes prevalence %,Numeric,No
P1,National smoking ban in HEALTH-CARE FACILITIES,Text,No
P2,National smoking ban in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,Text,No
P3,National smoking ban in UNIVERSITIES,Text,No
P4,National smoking ban in GOVERNMENT FACILITIES,Text,No
P5,National smoking ban in INDOOR OFFICES,Text,No
P6,National smoking ban in RESTAURANTS,Text,No
P7,National smoking ban in PUBS AND BARS,Text,No
P8,National smoking ban in PUBLIC TRANSPORT,Text,No
P9,National smoking ban in ALL OTHER INDOOR PUBLIC PLACES,Text,No
C2,National smoking ban: OVERALL COMPLIANCE OF REGULATIONS ON SMOKE-FREE ENVIRONMENTS,Numeric,No
P17,National smoking ban: NUMBER OF PLACES SMOKE-FREE,Numeric,Yes
P11,National smoking ban: FINES FOR VIOLATIONS ,Text,No
P12,National smoking ban: FINES ON THE ESTABLISHMENT,Text,No
P13,National smoking ban: FINES ON THE PATRON,Text,No
P14,National smoking ban: DEDICATED FUNDS FOR ENFORCEMENT,Text,No
P15,National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS,Text,No
P10,Subnational smoking bans - authority exists ,Text,No
P16,Subnational smoking bans - comprehensive bans in place,Text,Yes
O1,Population has access to a toll-free quit line,Text,No
O2,Nicotine replacement therapy available,Text,No
O3,Nicotine replacement therapy place available,Text,No
O6,Bupropion available,Text,No
O7,Bupropion place available,Text,No
O9,Varenicline available,Text,No
O10,Varenicline place available,Text,No
O12,Smoking cessation support is available in primary care facilities,Text,No
O13,Smoking cessation support is available in hospitals,Text,No
O14,Smoking cessation support is available in offices of health professionals,Text,No
O15,Smoking cessation support is available in the community,Text,No
O16,Smoking cessation support is available in other places,Text,No
W1A,Does the law mandate that health warnings appear on tobacco packages?,Text,No
W2A,Cigarettes: What percentage of the principal display areas of the package is legally mandated to be covered by health warnings?  FRONT AND REAR COMBINED,Numeric,No
W3A,Cigarettes: What percentage of the principal display areas of the FRONT of the package is legally mandated to be covered by health warnings?  ,Numeric,No
W4A,Cigarettes: What percentage of the principal display areas of the REAR of the package is legally mandated to be covered by health warnings?  ,Numeric,No
W15A,Cigarettes: Does the law mandate specific health warnings on cigarette packages?,Text,No
W16A,Cigarettes: How many specific health warnings are approved by the law?,Numeric,No
W11A,Cigarettes: Do health warnings appear on each package and any outside packaging and labelling used in the retail sale?,Text,No
